"","serialNumber","ownerGroup","ownerPi","model","frequency","tagCodeSpace","idCode","estimatedLifetime","durationStep1","powerStep1","acceleration_on_sec_step1","minDelayStep1","maxDelayStep1","durationStep2","powerStep2","acceleration_on_sec_step2","minDelayStep2","maxDelayStep2","durationStep3","powerStep3","acceleration_on_sec_step3","minDelayStep3","maxDelayStep3","durationStep4","powerStep4","acceleration_on_sec_step4","minDelayStep4","maxDelayStep4","sensorType","range","units","slope","intercept","accelerometer_algoritm","accelerometer_samples_per_sec","sensor_transmit_ratio","manufacturer","acousticTagType","type","thelmaConvertedCode"
"46",1294167,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3991","3991",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"47",1294168,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3992","3992",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"48",1294168,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3993","3993",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"49",1294169,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3994","3994",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"50",1294169,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3995","3995",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"51",1294170,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3996","3996",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"52",1294170,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3997","3997",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"53",1294171,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3998","3998",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"54",1294171,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-3999","3999",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"55",1294172,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4000","4000",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"56",1294172,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4001","4001",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"57",1294173,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4002","4002",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"58",1294173,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4003","4003",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"59",1294174,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4004","4004",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"60",1294174,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4005","4005",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"61",1294175,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4006","4006",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"62",1294175,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4007","4007",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"63",1294176,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4008","4008",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"64",1294176,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4009","4009",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"65",1294177,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4010","4010",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"66",1294177,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4011","4011",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"67",1294178,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4012","4012",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"68",1294178,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4013","4013",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"69",1294179,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4014","4014",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"70",1294179,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4015","4015",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"71",1294180,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4016","4016",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"72",1294180,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4017","4017",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"73",1294181,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4018","4018",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"74",1294181,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4019","4019",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"75",1294182,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4020","4020",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"76",1294182,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4021","4021",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"77",1294183,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4022","4022",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"78",1294183,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4023","4023",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"79",1294184,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4024","4024",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"80",1294184,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4025","4025",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"81",1294185,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4026","4026",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"82",1294185,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4027","4027",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"83",1294186,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4028","4028",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"84",1294186,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4029","4029",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"85",1294187,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4030","4030",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"86",1294187,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4031","4031",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"87",1294188,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4032","4032",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"88",1294188,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4033","4033",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"89",1294189,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4034","4034",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"90",1294189,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4035","4035",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"91",1294190,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4036","4036",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"92",1294190,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4037","4037",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
"93",1294191,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4038","4038",140,"90 00:00:00","H",37,50,100,"55 00:00:00","H",37,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"A","+/- 4.9","m/s²","0.01922","0","Activity",10,1,"vemco","animal","acoustic",NA
"94",1294191,"IMARES","Erwin Winter","V13AP-1x","069k","A69-9006-4039","4039",140,"90 00:00:00","H",NA,50,100,"55 00:00:00","H",NA,140,220,"365 00:00:00","L",NA,NA,NA,"0 00:00:00","L",NA,NA,NA,"P","0034","Meters","0.1516","-0.6065",NA,NA,NA,"vemco","animal","acoustic",NA
