Sales Order,Serial No. ,# of ID's,Customer,Researcher,Tag Family,VUE Tag ID,Est tag life (days),Step 1 Status,Step 1 Time     (dy hr:min:sec),Step 1 Power (L/H),Step 1 Acc. On (sec),Step 1 Min Delay (sec),Step 1 Max Delay (sec),Step 2 Status,Step 2 Time       (dy hr:min:sec),Step 2 Power (L/H),Step 2 Acc. On (sec),Step 2 Min Delay (sec),Step 2 Max Delay (sec),Step 3 Status,Step 3 Time       (dy hr:min:sec),Step 3 Power (L/H),Step 3 Acc. On (sec),Step 3 Min Delay (sec),Step 3 Max Delay (sec),Step 4 Status,Step 4 Time         (dy hr:min:sec),Step 4 Power (L/H),Step 4 Acc. On (sec),Step 4 Min Delay (sec),Step 4 Max Delay (sec),Loop To,Sensor type,Range,Units,Slope,Intercept ,Accelerometer Algorithm,Accelerometer Samples (/sec),Sensor Transmit Ratio,95% Est Battery Life (days),50% Est Battery Life (days),Ship Date
25284,1294145,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3946,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294145,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3947,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294146,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3948,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294146,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3949,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294147,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3950,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294147,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3951,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294148,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3952,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294148,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3953,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294149,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3954,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294149,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3955,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294150,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3956,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294150,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3957,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294151,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3958,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294151,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3959,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294152,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3960,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294152,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3961,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294153,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3962,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294153,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3963,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294154,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3964,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294154,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3965,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294155,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3966,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294155,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3967,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294156,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3968,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294156,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3969,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294157,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3970,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294157,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3971,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294158,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3972,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294158,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3973,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294159,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3974,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294159,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3975,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294160,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3976,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294160,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3977,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294161,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3978,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294161,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3979,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294162,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3980,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294162,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3981,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294163,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3982,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294163,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3983,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294164,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3984,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294164,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3985,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294165,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3986,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294165,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3987,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294166,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3988,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
25284,1294166,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3989,140,ON,90 00:00:00,H,,50,100,ON,55 00:00:00,H,,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,P,0034,Meters,0.1516,-0.6065,,,,,,2018-05-11
25284,1294167,2,WAGENINGEN UR MARINE RESEARCH,Jan Reubens,V13AP-1x-069k-1-0034m,A69-9006-3990,140,ON,90 00:00:00,H,37,50,100,ON,55 00:00:00,H,37,140,220,OFF,365 00:00:00,L,,,,OFF,0 00:00:00,L,,,,3,A,+/- 4.9,m/s,0.01922,0,Activity,10,1,,,2018-05-11
